,Unnamed: 0,date,audience,creative_family,creative_version,platform,clicks,spend,impressions,reach,concatenated,total_sessions,completions
11,11,31/03/2022,6,CloserTwins,30s,OTT,0,5051.73,148582,92528,44651_6_CloserTwins_30s_OTT,,
47,47,07/04/2022,6,CloserTwins,30s,OTT,0,4976.81,146377,92241,44658_6_CloserTwins_30s_OTT,32,0
26027,26027,19/10/2022,4,UnfairAdvantage,1099,Domain Display,84,738.69374,145812,5258,44853_4_UnfairAdvantage_1099_Domain Display,80,0
3,3,27/03/2022,6,CloserTwins,30s,OTT,0,4946.23,145482,104088,44647_6_CloserTwins_30s_OTT,,
11104,11104,15/06/2022,6,SEM Ads,Change Wholesale,Google SEM,88,46.74,296,0,44727_6_SEM Ads_Change Wholesale_Google SEM,156,63
26209,26209,21/10/2022,4,UnfairAdvantage,1099,Domain Display,90,696.025856,138652,3835,44855_4_UnfairAdvantage_1099_Domain Display,75,0
26374,26374,23/10/2022,4,UnfairAdvantage,1099,Domain Display,75,769.051184,136126,3089,44857_4_UnfairAdvantage_1099_Domain Display,82,0
259,259,20/04/2022,6,CloserTwins,30s,OTT,0,4336.77,127552,101451,44671_6_CloserTwins_30s_OTT,11,0
26293,26293,22/10/2022,4,UnfairAdvantage,1099,Domain Display,72,687.83562,123783,2922,44856_4_UnfairAdvantage_1099_Domain Display,65,0
25842,25842,17/10/2022,4,UnfairAdvantage,1099,Domain Display,98,0,93412,4631,44851_4_UnfairAdvantage_1099_Domain Display,110,0
9800,9800,08/06/2022,6,SEM Ads,Change Wholesale,Google SEM,101,27.91,287,0,44720_6_SEM Ads_Change Wholesale_Google SEM,157,63
1219,1219,28/04/2022,6,CloserTwins,30_QR,OTT,0,2692.73,79200,65611,44679_6_CloserTwins_30_QR_OTT,,
1220,1220,28/04/2022,6,CloserTwins,30s,OTT,0,2661.95,78294,65152,44679_6_CloserTwins_30s_OTT,3,0
26463,26463,24/10/2022,4,UnfairAdvantage,one_page,Domain Display,31,478.02293,77521,2220,44858_4_UnfairAdvantage_one_page_Domain Display,30,0
1569,1569,30/04/2022,6,CloserTwins,30s,OTT,0,2634.36,77482,64230,44681_6_CloserTwins_30s_OTT,3,0
1568,1568,30/04/2022,6,CloserTwins,30_QR,OTT,0,2633.4,77455,64122,44681_6_CloserTwins_30_QR_OTT,,
327,327,21/04/2022,6,CloserTwins,30s,OTT,0,2620.03,77062,64062,44672_6_CloserTwins_30s_OTT,11,0
621,621,24/04/2022,6,CloserTwins,30s,OTT,0,2617.78,76995,62433,44675_6_CloserTwins_30s_OTT,2,0
517,517,23/04/2022,6,CloserTwins,30s,OTT,0,2603.64,76579,61900,44674_6_CloserTwins_30s_OTT,5,0
516,516,23/04/2022,6,CloserTwins,30_QR,OTT,0,2599.15,76447,61722,44674_6_CloserTwins_30_QR_OTT,,
620,620,24/04/2022,6,CloserTwins,30_QR,OTT,0,2578.08,75826,61887,44675_6_CloserTwins_30_QR_OTT,,
897,897,26/04/2022,6,CloserTwins,30_QR,OTT,0,2564.32,75423,65854,44677_6_CloserTwins_30_QR_OTT,,
741,741,25/04/2022,6,CloserTwins,30_QR,OTT,0,2543.48,74810,66444,44676_6_CloserTwins_30_QR_OTT,,
898,898,26/04/2022,6,CloserTwins,30s,OTT,0,2533.66,74521,64804,44677_6_CloserTwins_30s_OTT,9,0
1393,1393,29/04/2022,6,CloserTwins,30_QR,OTT,0,2532.39,74482,66216,44680_6_CloserTwins_30_QR_OTT,,
412,412,22/04/2022,6,CloserTwins,30_QR,OTT,0,2525.87,74291,65437,44673_6_CloserTwins_30_QR_OTT,,
1050,1050,27/04/2022,6,CloserTwins,30_QR,OTT,0,2525.29,74274,61427,44678_6_CloserTwins_30_QR_OTT,,
1051,1051,27/04/2022,6,CloserTwins,30s,OTT,0,2520.19,74124,61483,44678_6_CloserTwins_30s_OTT,5,0
413,413,22/04/2022,6,CloserTwins,30s,OTT,0,2518.45,74073,65077,44673_6_CloserTwins_30s_OTT,8,0
326,326,21/04/2022,6,CloserTwins,30_QR,OTT,0,2511.89,73880,61939,44672_6_CloserTwins_30_QR_OTT,,
742,742,25/04/2022,6,CloserTwins,30s,OTT,0,2506.13,73710,65648,44676_6_CloserTwins_30s_OTT,7,0
26381,26381,23/10/2022,4,UnfairAdvantage,one_page,Domain Display,41,458.378956,73656,2050,44857_4_UnfairAdvantage_one_page_Domain Display,21,0
1394,1394,29/04/2022,6,CloserTwins,30s,OTT,0,2501.67,73580,65906,44680_6_CloserTwins_30s_OTT,4,0
26300,26300,22/10/2022,4,UnfairAdvantage,one_page,Domain Display,49,428.347151,70012,2140,44856_4_UnfairAdvantage_one_page_Domain Display,39,0
26126,26126,20/10/2022,4,UnfairAdvantage,one_page,Domain Display,36,392.650882,69905,2496,44854_4_UnfairAdvantage_one_page_Domain Display,25,0
25942,25942,18/10/2022,4,UnfairAdvantage,one_page,Domain Display,38,389.104862,68810,3999,44852_4_UnfairAdvantage_one_page_Domain Display,34,0
26216,26216,21/10/2022,4,UnfairAdvantage,one_page,Domain Display,38,379.644533,67896,2178,44855_4_UnfairAdvantage_one_page_Domain Display,22,0
26378,26378,23/10/2022,4,UnfairAdvantage,NoDTI,Domain Display,47,371.494997,67087,1564,44857_4_UnfairAdvantage_NoDTI_Domain Display,37,0
26034,26034,19/10/2022,4,UnfairAdvantage,one_page,Domain Display,34,369.833699,66553,2798,44853_4_UnfairAdvantage_one_page_Domain Display,29,0
25939,25939,18/10/2022,4,UnfairAdvantage,NoDTI,Domain Display,47,344.555934,65015,3049,44852_4_UnfairAdvantage_NoDTI_Domain Display,37,0
26297,26297,22/10/2022,4,UnfairAdvantage,NoDTI,Domain Display,40,356.716427,64380,1481,44856_4_UnfairAdvantage_NoDTI_Domain Display,31,0
26031,26031,19/10/2022,4,UnfairAdvantage,NoDTI,Domain Display,38,330.450836,63450,2425,44853_4_UnfairAdvantage_NoDTI_Domain Display,35,0
26123,26123,20/10/2022,4,UnfairAdvantage,NoDTI,Domain Display,31,321.727872,61326,1660,44854_4_UnfairAdvantage_NoDTI_Domain Display,24,0
26213,26213,21/10/2022,4,UnfairAdvantage,NoDTI,Domain Display,39,313.091704,59844,1378,44855_4_UnfairAdvantage_NoDTI_Domain Display,26,0
0,0,26/03/2022,6,CloserTwins,15s,OTT,0,2007.89,59059,46542,44646_6_CloserTwins_15s_OTT,,
21818,21818,08/09/2022,4,UnfairAdvantage,Static,User ID Display,88,283.977878,56925,32359,44812_4_UnfairAdvantage_Static_User ID Display,,
23049,23049,19/09/2022,6,SEM Ads,Change Wholesale,Google SEM,86,41.38,375,0,44823_6_SEM Ads_Change Wholesale_Google SEM,148,58
6,6,29/03/2022,6,CloserTwins,15s,OTT,0,1883.82,55409,42605,44649_6_CloserTwins_15s_OTT,,
4140,4140,12/05/2022,6,SEM Ads,Change Wholesale,Google SEM,85,37.51,337,0,44693_6_SEM Ads_Change Wholesale_Google SEM,138,57
1958,1958,02/05/2022,6,SEM Ads,Change Wholesale,Google SEM,80,41.18,305,0,44683_6_SEM Ads_Change Wholesale_Google SEM,127,57
26476,26476,24/10/2022,5,UnfairAdvantage,Animated,Domain Display,53,256.085307,52796,855,44858_5_UnfairAdvantage_Animated_Domain Display,53,0
2,2,27/03/2022,6,CloserTwins,15s,OTT,0,1767.91,52000,41696,44647_6_CloserTwins_15s_OTT,,
38,38,06/04/2022,6,CloserTwins,15s,OTT,0,1761.85,51820,37420,44657_6_CloserTwins_15s_OTT,14,0
25745,25745,16/10/2022,4,UnfairAdvantage,1099,Domain Display,39,0,51668,2483,44850_4_UnfairAdvantage_1099_Domain Display,46,0
129,129,17/04/2022,6,CloserTwins,15s,OTT,0,1753.47,51572,40431,44668_6_CloserTwins_15s_OTT,,
94,94,13/04/2022,6,CloserTwins,15s,OTT,0,1742.08,51239,38754,44664_6_CloserTwins_15s_OTT,3,0
70,70,10/04/2022,6,CloserTwins,15s,OTT,0,1738.54,51134,38353,44661_6_CloserTwins_15s_OTT,6,0
4,4,28/03/2022,6,CloserTwins,15s,OTT,0,1738,51118,43046,44648_6_CloserTwins_15s_OTT,,
62,62,09/04/2022,6,CloserTwins,15s,OTT,0,1733.6,50990,35004,44660_6_CloserTwins_15s_OTT,6,0
12,12,01/04/2022,6,CloserTwins,15s,OTT,0,1732.47,50954,35475,44652_6_CloserTwins_15s_OTT,18,0
124,124,16/04/2022,6,CloserTwins,15s,OTT,0,1725.15,50741,37774,44667_6_CloserTwins_15s_OTT,1,0
17,17,02/04/2022,6,CloserTwins,15s,OTT,0,1723.12,50681,38699,44653_6_CloserTwins_15s_OTT,12,0
54,54,08/04/2022,6,CloserTwins,15s,OTT,0,1719.01,50559,33065,44659_6_CloserTwins_15s_OTT,8,2
27,27,04/04/2022,6,CloserTwins,15s,OTT,0,1718.93,50559,34856,44655_6_CloserTwins_15s_OTT,7,0
119,119,15/04/2022,6,CloserTwins,15s,OTT,0,1716.61,50490,39598,44666_6_CloserTwins_15s_OTT,5,0
8,8,30/03/2022,6,CloserTwins,15s,OTT,0,1714.03,50414,35420,44650_6_CloserTwins_15s_OTT,,
78,78,11/04/2022,6,CloserTwins,15s,OTT,0,1713.69,50403,39566,44662_6_CloserTwins_15s_OTT,5,0
22,22,03/04/2022,6,CloserTwins,15s,OTT,0,1712.05,50357,35909,44654_6_CloserTwins_15s_OTT,16,0
208,208,19/04/2022,6,CloserTwins,15s,OTT,0,1709.8,50289,41770,44670_6_CloserTwins_15s_OTT,6,0
10,10,31/03/2022,6,CloserTwins,15s,OTT,0,1709.34,50276,36217,44651_6_CloserTwins_15s_OTT,,
86,86,12/04/2022,6,CloserTwins,15s,OTT,0,1708.3,50246,38127,44663_6_CloserTwins_15s_OTT,7,0
102,102,14/04/2022,6,CloserTwins,15s,OTT,0,1701.57,50048,40005,44665_6_CloserTwins_15s_OTT,4,0
163,163,18/04/2022,6,CloserTwins,15s,OTT,0,1694.46,49839,42108,44669_6_CloserTwins_15s_OTT,12,0
32,32,05/04/2022,6,CloserTwins,15s,OTT,0,1689.21,49684,33459,44656_6_CloserTwins_15s_OTT,9,0
46,46,07/04/2022,6,CloserTwins,15s,OTT,0,1682.52,49487,34442,44658_6_CloserTwins_15s_OTT,4,0
8694,8694,02/06/2022,6,SEM Ads,Change Wholesale,Google SEM,89,33.8,297,0,44714_6_SEM Ads_Change Wholesale_Google SEM,148,56
25552,25552,14/10/2022,4,UnfairAdvantage,1099,Domain Display,33,0,48278,3091,44848_4_UnfairAdvantage_1099_Domain Display,43,0
25649,25649,15/10/2022,4,UnfairAdvantage,1099,Domain Display,37,0,48214,2762,44849_4_UnfairAdvantage_1099_Domain Display,32,0
25848,25848,17/10/2022,4,UnfairAdvantage,Static,User ID Display,89,232.130497,47030,27258,44851_4_UnfairAdvantage_Static_User ID Display,,
26462,26462,24/10/2022,4,UnfairAdvantage,Static,User ID Display,81,230.448463,46956,27126,44858_4_UnfairAdvantage_Static_User ID Display,,
22260,22260,12/09/2022,4,UnfairAdvantage,Static,User ID Display,58,227.158706,46797,27461,44816_4_UnfairAdvantage_Static_User ID Display,,
25462,25462,13/10/2022,4,UnfairAdvantage,Static,User ID Display,121,222.407076,45450,27211,44847_4_UnfairAdvantage_Static_User ID Display,,
22369,22369,13/09/2022,4,UnfairAdvantage,Static,User ID Display,52,219.806106,45373,26987,44817_4_UnfairAdvantage_Static_User ID Display,,
26514,26514,25/10/2022,4,UnfairAdvantage,Static,User ID Display,84,225.297891,45348,26200,44859_4_UnfairAdvantage_Static_User ID Display,,
25269,25269,11/10/2022,4,UnfairAdvantage,Static,User ID Display,181,219.671042,45331,26507,44845_4_UnfairAdvantage_Static_User ID Display,,
25456,25456,13/10/2022,4,UnfairAdvantage,1099,Domain Display,41,0,45325,3462,44847_4_UnfairAdvantage_1099_Domain Display,37,0
26482,26482,24/10/2022,6,SEM Ads,Change Wholesale,Google SEM,97,51.39,491,0,44858_6_SEM Ads_Change Wholesale_Google SEM,151,54
26544,26544,26/10/2022,4,UnfairAdvantage,Static,User ID Display,76,222.917216,44978,26198,44860_4_UnfairAdvantage_Static_User ID Display,,
25366,25366,12/10/2022,4,UnfairAdvantage,Static,User ID Display,129,218.076665,44768,26974,44846_4_UnfairAdvantage_Static_User ID Display,,
26033,26033,19/10/2022,4,UnfairAdvantage,Static,User ID Display,78,221.031249,44757,26126,44853_4_UnfairAdvantage_Static_User ID Display,,
26479,26479,24/10/2022,5,UnfairAdvantage,one_page,Domain Display,61,218.209266,44715,670,44858_5_UnfairAdvantage_one_page_Domain Display,53,0
22478,22478,14/09/2022,4,UnfairAdvantage,Static,User ID Display,62,217.36082,44699,26307,44818_4_UnfairAdvantage_Static_User ID Display,,
258,258,20/04/2022,6,CloserTwins,30_QR,OTT,0,1510.06,44414,34995,44671_6_CloserTwins_30_QR_OTT,,
26574,26574,27/10/2022,4,UnfairAdvantage,Static,User ID Display,43,218.577204,44362,25499,44861_4_UnfairAdvantage_Static_User ID Display,,
26049,26049,19/10/2022,5,UnfairAdvantage,Animated,Domain Display,63,214.360218,44333,858,44853_5_UnfairAdvantage_Animated_Domain Display,47,0
25941,25941,18/10/2022,4,UnfairAdvantage,Static,User ID Display,69,217.515532,44083,25779,44852_4_UnfairAdvantage_Static_User ID Display,,
26512,26512,25/10/2022,4,UnfairAdvantage,All,LinkedIn,94,981.93,43811,0,44859_4_UnfairAdvantage_All_LinkedIn,68,0
25558,25558,14/10/2022,4,UnfairAdvantage,Static,User ID Display,83,216.40539,43806,25202,44848_4_UnfairAdvantage_Static_User ID Display,,
22151,22151,11/09/2022,4,UnfairAdvantage,Static,User ID Display,53,214.629671,43414,23790,44815_4_UnfairAdvantage_Static_User ID Display,,
26125,26125,20/10/2022,4,UnfairAdvantage,Static,User ID Display,55,215.744248,43251,25415,44854_4_UnfairAdvantage_Static_User ID Display,,
26029,26029,19/10/2022,4,UnfairAdvantage,All,LinkedIn,93,949.69,43189,0,44853_4_UnfairAdvantage_All_LinkedIn,70,0
21927,21927,09/09/2022,4,UnfairAdvantage,Static,User ID Display,88,211.226576,42971,25436,44813_4_UnfairAdvantage_Static_User ID Display,,
257,257,20/04/2022,6,CloserTwins,15s,OTT,0,1460.69,42964,36315,44671_6_CloserTwins_15s_OTT,,
26603,26603,28/10/2022,4,UnfairAdvantage,Static,User ID Display,67,212.608426,42631,24130,44862_4_UnfairAdvantage_Static_User ID Display,,
23750,23750,26/09/2022,4,UnfairAdvantage,Static,User ID Display,55,209.116753,42452,25015,44830_4_UnfairAdvantage_Static_User ID Display,,
23231,23231,21/09/2022,4,UnfairAdvantage,Static,User ID Display,48,204.174776,42296,24927,44825_4_UnfairAdvantage_Static_User ID Display,,
23128,23128,20/09/2022,4,UnfairAdvantage,Static,User ID Display,60,204.506226,42145,24748,44824_4_UnfairAdvantage_Static_User ID Display,,
23964,23964,28/09/2022,4,UnfairAdvantage,Static,User ID Display,44,203.9337,42066,25380,44832_4_UnfairAdvantage_Static_User ID Display,,
26052,26052,19/10/2022,5,UnfairAdvantage,one_page,Domain Display,64,202.93059,41988,600,44853_5_UnfairAdvantage_one_page_Domain Display,54,0
22587,22587,15/09/2022,4,UnfairAdvantage,Static,User ID Display,59,205.889898,41968,25174,44819_4_UnfairAdvantage_Static_User ID Display,,
26215,26215,21/10/2022,4,UnfairAdvantage,Static,User ID Display,58,208.526246,41797,23864,44855_4_UnfairAdvantage_Static_User ID Display,,
24503,24503,03/10/2022,4,UnfairAdvantage,Static,User ID Display,55,203.395077,41794,25202,44837_4_UnfairAdvantage_Static_User ID Display,,
23023,23023,19/09/2022,4,UnfairAdvantage,Static,User ID Display,62,202.681127,41647,24662,44823_4_UnfairAdvantage_Static_User ID Display,,
25937,25937,18/10/2022,4,UnfairAdvantage,All,LinkedIn,103,952.44,41644,0,44852_4_UnfairAdvantage_All_LinkedIn,85,0
23857,23857,27/09/2022,4,UnfairAdvantage,Static,User ID Display,52,202.277266,41561,25161,44831_4_UnfairAdvantage_Static_User ID Display,,
26542,26542,26/10/2022,4,UnfairAdvantage,All,LinkedIn,86,962.57,41560,0,44860_4_UnfairAdvantage_All_LinkedIn,68,0
24612,24612,04/10/2022,4,UnfairAdvantage,Static,User ID Display,68,201.959953,41522,24857,44838_4_UnfairAdvantage_Static_User ID Display,,
25172,25172,10/10/2022,4,UnfairAdvantage,Static,User ID Display,64,200.302816,41274,24453,44844_4_UnfairAdvantage_Static_User ID Display,,
24720,24720,05/10/2022,4,UnfairAdvantage,Static,User ID Display,72,199.346298,41259,24792,44839_4_UnfairAdvantage_Static_User ID Display,,
26316,26316,22/10/2022,5,UnfairAdvantage,one_page,Domain Display,94,197.947054,40931,528,44856_5_UnfairAdvantage_one_page_Domain Display,64,0
22613,22613,15/09/2022,6,SEM Ads,Change Wholesale,Google SEM,79,46.56,380,0,44819_6_SEM Ads_Change Wholesale_Google SEM,132,54
24072,24072,29/09/2022,4,UnfairAdvantage,Static,User ID Display,40,199.754209,40852,24791,44833_4_UnfairAdvantage_Static_User ID Display,,
25751,25751,16/10/2022,4,UnfairAdvantage,Static,User ID Display,74,206.577,40825,22032,44850_4_UnfairAdvantage_Static_User ID Display,,
24394,24394,02/10/2022,4,UnfairAdvantage,Static,User ID Display,59,200.676607,40740,22963,44836_4_UnfairAdvantage_Static_User ID Display,,
22042,22042,10/09/2022,4,UnfairAdvantage,Static,User ID Display,55,205.470313,40737,22491,44814_4_UnfairAdvantage_Static_User ID Display,,
24828,24828,06/10/2022,4,UnfairAdvantage,Static,User ID Display,53,197.492454,40647,24126,44840_4_UnfairAdvantage_Static_User ID Display,,
23335,23335,22/09/2022,4,UnfairAdvantage,Static,User ID Display,51,200.507449,40631,24206,44826_4_UnfairAdvantage_Static_User ID Display,,
22696,22696,16/09/2022,4,UnfairAdvantage,Static,User ID Display,72,198.780597,40416,23968,44820_4_UnfairAdvantage_Static_User ID Display,,
25960,25960,18/10/2022,5,UnfairAdvantage,one_page,Domain Display,55,194.98467,40284,689,44852_5_UnfairAdvantage_one_page_Domain Display,46,0
26380,26380,23/10/2022,4,UnfairAdvantage,Static,User ID Display,59,201.669726,40253,21375,44857_4_UnfairAdvantage_Static_User ID Display,,
24179,24179,30/09/2022,4,UnfairAdvantage,Static,User ID Display,38,197.418348,40210,23893,44834_4_UnfairAdvantage_Static_User ID Display,,
26144,26144,20/10/2022,5,UnfairAdvantage,one_page,Domain Display,76,193.507707,39992,598,44854_5_UnfairAdvantage_one_page_Domain Display,58,0
24286,24286,01/10/2022,4,UnfairAdvantage,Static,User ID Display,41,196.86916,39541,21828,44835_4_UnfairAdvantage_Static_User ID Display,,
26299,26299,22/10/2022,4,UnfairAdvantage,Static,User ID Display,61,199.398808,39395,20678,44856_4_UnfairAdvantage_Static_User ID Display,,
23646,23646,25/09/2022,4,UnfairAdvantage,Static,User ID Display,60,198.241328,39390,21722,44829_4_UnfairAdvantage_Static_User ID Display,,
23439,23439,23/09/2022,4,UnfairAdvantage,Static,User ID Display,48,196.688894,39347,22695,44827_4_UnfairAdvantage_Static_User ID Display,,
24917,24917,07/10/2022,4,UnfairAdvantage,Static,User ID Display,44,192.88846,39178,22843,44841_4_UnfairAdvantage_Static_User ID Display,,
22914,22914,18/09/2022,4,UnfairAdvantage,Static,User ID Display,54,198.16107,39117,21852,44822_4_UnfairAdvantage_Static_User ID Display,,
26572,26572,27/10/2022,4,UnfairAdvantage,All,LinkedIn,104,941.4,38980,0,44861_4_UnfairAdvantage_All_LinkedIn,85,0
25655,25655,15/10/2022,4,UnfairAdvantage,Static,User ID Display,65,198.058517,38913,20938,44849_4_UnfairAdvantage_Static_User ID Display,,
26601,26601,28/10/2022,4,UnfairAdvantage,All,LinkedIn,113,892.69,38644,0,44862_4_UnfairAdvantage_All_LinkedIn,81,0
3700,3700,10/05/2022,6,SEM Ads,Change Wholesale,Google SEM,68,28.35,335,0,44691_6_SEM Ads_Change Wholesale_Google SEM,122,54
26633,26633,29/10/2022,4,UnfairAdvantage,Static,User ID Display,40,194.027804,38270,20154,44863_4_UnfairAdvantage_Static_User ID Display,,
26458,26458,24/10/2022,4,UnfairAdvantage,All,LinkedIn,103,836.2779332,38051,0,44858_4_UnfairAdvantage_All_LinkedIn,109,0
26473,26473,24/10/2022,5,UnfairAdvantage,1099,Domain Display,59,185.536558,37999,624,44858_5_UnfairAdvantage_1099_Domain Display,52,0
22805,22805,17/09/2022,4,UnfairAdvantage,Static,User ID Display,60,192.650486,37752,20895,44821_4_UnfairAdvantage_Static_User ID Display,,
25080,25080,09/10/2022,4,UnfairAdvantage,Static,User ID Display,53,188.946727,37689,20549,44843_4_UnfairAdvantage_Static_User ID Display,,
26020,26020,19/10/2022,4,CloserTwins,CloseMore,Domain Display,18,225.390023,37582,2169,44853_4_CloserTwins_CloseMore_Domain Display,20,0
25846,25846,17/10/2022,4,UnfairAdvantage,NoDTI,Domain Display,25,0,37576,2207,44851_4_UnfairAdvantage_NoDTI_Domain Display,35,0
24999,24999,08/10/2022,4,UnfairAdvantage,Static,User ID Display,60,188.978588,37458,20380,44842_4_UnfairAdvantage_Static_User ID Display,,
26121,26121,20/10/2022,4,UnfairAdvantage,All,LinkedIn,96,835.58,36886,0,44854_4_UnfairAdvantage_All_LinkedIn,40,0
23542,23542,24/09/2022,4,UnfairAdvantage,Static,User ID Display,66,187.02559,36481,20337,44828_4_UnfairAdvantage_Static_User ID Display,,
25263,25263,11/10/2022,4,UnfairAdvantage,1099,Domain Display,24,0,35417,3756,44845_4_UnfairAdvantage_1099_Domain Display,25,0
26310,26310,22/10/2022,5,UnfairAdvantage,1099,Domain Display,66,171.190779,35366,504,44856_5_UnfairAdvantage_1099_Domain Display,65,0
26046,26046,19/10/2022,5,UnfairAdvantage,1099,Domain Display,31,170.513409,35274,580,44853_5_UnfairAdvantage_1099_Domain Display,40,0
26391,26391,23/10/2022,5,UnfairAdvantage,1099,Domain Display,62,170.664744,35145,404,44857_5_UnfairAdvantage_1099_Domain Display,58,0
25360,25360,12/10/2022,4,UnfairAdvantage,1099,Domain Display,29,0,34913,2486,44846_4_UnfairAdvantage_1099_Domain Display,21,0
96,96,13/04/2022,6,CompetitiveOpportunity,Cancelingyourlock,Domain Display,43,169.268345,34828,3925,44664_6_CompetitiveOpportunity_Cancelingyourlock_Domain Display,14,0
25954,25954,18/10/2022,5,UnfairAdvantage,1099,Domain Display,36,168.206442,34733,644,44852_5_UnfairAdvantage_1099_Domain Display,27,0
25849,25849,17/10/2022,4,UnfairAdvantage,one_page,Domain Display,21,0,34451,2379,44851_4_UnfairAdvantage_one_page_Domain Display,24,0
26690,26690,31/10/2022,4,UnfairAdvantage,All,LinkedIn,98,827.4735078,34146,0,44865_4_UnfairAdvantage_All_LinkedIn,83,0
26138,26138,20/10/2022,5,UnfairAdvantage,1099,Domain Display,53,162.450753,33545,550,44854_5_UnfairAdvantage_1099_Domain Display,46,0
26692,26692,31/10/2022,4,UnfairAdvantage,Static,User ID Display,50,159.626745,33098,18857,44865_4_UnfairAdvantage_Static_User ID Display,,
26228,26228,21/10/2022,5,UnfairAdvantage,1099,Domain Display,45,159.453986,33042,577,44855_5_UnfairAdvantage_1099_Domain Display,45,0
25928,25928,18/10/2022,4,CloserTwins,CloseMore,Domain Display,24,196.995714,32768,2677,44852_4_CloserTwins_CloseMore_Domain Display,19,0
25166,25166,10/10/2022,4,UnfairAdvantage,1099,Domain Display,13,164.846531,32634,5171,44844_4_UnfairAdvantage_1099_Domain Display,23,0
26117,26117,20/10/2022,4,CloserTwins,Faster,Domain Display,14,192.877167,32628,1414,44854_4_CloserTwins_Faster_Domain Display,8,0
22201,22201,12/09/2022,1,UnfairAdvantage,Static,User ID Display,41,165.494809,32503,17001,44816_1_UnfairAdvantage_Static_User ID Display,,
25929,25929,18/10/2022,4,CloserTwins,Competitors,Domain Display,15,191.017987,32340,2300,44852_4_CloserTwins_Competitors_Domain Display,6,0
21759,21759,08/09/2022,1,UnfairAdvantage,Static,User ID Display,59,161.859074,31200,16668,44812_1_UnfairAdvantage_Static_User ID Display,,
22236,22236,12/09/2022,3,UnfairAdvantage,Static,User ID Display,43,158.16629,30919,15933,44816_3_UnfairAdvantage_Static_User ID Display,,
26662,26662,30/10/2022,4,UnfairAdvantage,Static,User ID Display,43,151.062061,30628,16585,44864_4_UnfairAdvantage_Static_User ID Display,,
22092,22092,11/09/2022,1,UnfairAdvantage,Static,User ID Display,37,160.993469,30569,14485,44815_1_UnfairAdvantage_Static_User ID Display,,
